"ID","name","group","Lx","Ly","Lz","m","V","ρ","source"
"89","Wooden garden shed","F2","2.650","2.020","2.010","197","10.8","18.3","https://www.leroymerlin.es/fp/16699060/caseta-de-madera-kluane-de-265x201x202-cm-y-4-32-m2?keyword=&ds_kid=92700068911156385&ds_ag=Categor%C3%ADas+-+Jardin&ds_c=LM_Empoderar_AO_SmartShopping_Jardin/Exterior_Generica_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb-klqc3smg2ikDeBlZ7E_6czD3qseNPR__b0uE6Z_cDwYu_zyE4PnxoCrDMQAvD_BwE&gclsrc=aw.ds"
"90","Wooden garden shed","F2","2.280","2.000","2.020","194","9.2","21.1","https://www.leroymerlin.es/fp/80118204/caseta-de-madera-louis-de-228x200x202-cm-y-4-61-m2"
"91","Electric water heater","F2","0.451","0.433","0.851","20","0.2","117.3","https://www.leroymerlin.es/fp/82005338/termo-electrico-equation-eq1-80l?keyword=&ds_kid=92700068915560564&ds_ag=Todas+Categorias&ds_c=LM_Empoderar_AO_SmartShopping_Todas_Categoria/final_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsbz3PgDl3ORU9DMgHqmaf9lTmdc6PO7WNwmtebWWxIGR6-pwMj698kBoCd4AQAvD_BwE&gclsrc=aw.ds"
"92","Plastic garden shed","F2","2.530","2.280","2.235","135","12.9","10.5","https://www.leroymerlin.es/fp/82143477/caseta-de-resina-newton-de-228x253-2x223-5-cm-y-4-54-m2"
"93","Electric water heater","F2","0.451","0.433","1.013","23","0.2","116.3","https://assets.leroymerlin.es/is/content/lmes/82005340-0170q-es/eq1-termo-electrico-100l.pdf"
"94","Electric water heater","F2","0.780","0.438","0.460","24","0.2","152.7","https://www.leroymerlin.es/fp/81867675/termo-electrico-cointra-tnd-plus-80l"
"95","Plastic garden shed","F2","2.520","2.290","2.230","127","12.9","9.9","https://www.leroymerlin.es/fp/82836065/caseta-de-resina-premier-757-de-229x252x223-cm-y-4-6-m2"
"96","Metal garden shed","F2","2.010","1.210","1.900","37","4.6","8.0","https://www.amazon.es/wasabi-Lightgreen-Caseta-met%C3%A1lica-Almacenamiento/dp/B07R3ZZBPQ/ref=asc_df_B07R3ZZBPQ/?tag=googshopes-21&linkCode=df0&hvadid=348220466071&hvpos=&hvnetw=g&hvrand=11335774766997278381&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1005545&hvtargid=pla-744095006099&th=1"
"97","Metal garden shed","F2","2.010","1.210","1.900","44","4.6","9.5","https://www.leroymerlin.es/fp/81865571/caseta-de-metal-nybro-de-201x190x121-cm-y-2-43-m2?keyword=&ds_kid=92700068911156385&ds_ag=Categor%C3%ADas+-+Jardin&ds_c=LM_Empoderar_AO_SmartShopping_Jardin/Exterior_Generica_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb1WM8PA_F3UT_GDzNQbZtwulPgnjTIBm_bKSrAfIfW3xkCNwNb4WPBoCK18QAvD_BwE&gclsrc=aw.ds#fichaTecnica"
"98","Wooden garden shed","F2","1.820","1.490","2.000","102","5.4","18.8","https://www.leroymerlin.es/fp/15380995/caseta-de-madera-anetta-de-149x200x182-cm-y-2-71-m2?keyword=&ds_kid=92700068911156385&ds_ag=Categor%C3%ADas+-+Jardin&ds_c=LM_Empoderar_AO_SmartShopping_Jardin/Exterior_Generica_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb1NvQ7Y4zNuqNrCeVzdFiz2qczB7CGnYGsbzYZcdZnp7vB3qRfnUSRoCvGEQAvD_BwE&gclsrc=aw.ds"
"99","Water tank polyethilene 1 m³ (without base)","F2","1.200","1.000","1.116","53","1.3","39.9","https://www.auer-packaging.com/es/es/Contenedor-IBC-con-palet-de-pl%C3%A1stico/IBC-1000-K-150.50.html?customer_type=private&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb8R7KFShIbce9TCpSdus67RGbMD8i9Iss_RdrEYuWX55XMZ6gAoDdBoCcHwQAvD_BwE"
"100","Metal garden shed","F2","2.390","1.930","2.030","54","9.4","5.8","https://www.bauhaus.es/casetas-de-herramientas-metalicas/hoggar-caseta-para-jardin-gansen-ii/p/26603937?cid=SSAGoo16511208432_&pla_campid=16511208432&pla_adgrid=&pla_prpaid=&pla_prid=26603937&pla_adt=pla&pla_prch=online&pla_stco=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb35uN40v0MotwumUGE-ekPRFDb6iNx6LjcF961CsGYuRI5KbfrkkUhoCCT0QAvD_BwE"
"101","Metal garden shed","F2","3.400","3.190","2.100","80","22.8","3.5","https://www.mi-caseta-de-jardin.es/casetas-de-jardin-de-metal/9966-caseta-de-jardin-antracita-first-1085m-first-antracita-kit-de-anclaje-x-metal-3336363099663.html?gclid=CjwKCAjwp9qZBhBkEiwAsYFsbzO0BTORnzJq22CZpGyifeq5XJCJzIkaNhijRizcTBXeSd78HLA1kBoC4v8QAvD_BwE"
"102","Water tank polyethilene 1 m³ (without base)","F2","1.200","1.000","1.116","56","1.3","42.1","https://www.auer-packaging.com/es/es/Contenedor-IBC-con-palet-de-pl%C3%A1stico/IBC-1000-K-150.50-UN.html?customer_type=private&gclid=CjwKCAjwp9qZBhBkEiwAsYFsbxm_uHe4hiqshBQ_4plmRLq7-4moYvoG21npDyasD4NT_G5R4PaE8RoCVAwQAvD_BwE"
"103","Water tank polyethilene 1 m³ (with base)","F2","2.340","1.360","0.520","66","1.7","39.9","https://www.topalmacen.com/producto/cubeto-de-polietileno-sin-rejilla-pibc2ex.html"
"104","Metal garden shed","F2","2.770","1.910","2.020","68","10.7","6.4","https://www.brycus.es/caseta-de-jardin-metalica-gardiun-leeds-530-m2-b8f0e/?otcountry=ES&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb2MgBhS0KxmsT822BKdDHuGaWMXtMIQ3ZDcsxQmlEg7ACbtNnWIHMxoCOr0QAvD_BwE"
"105","Water tank polyethilene 1 m³ (with base)","F2","2.065","1.445","0.705","79","2.1","37.6","https://www.topalmacen.com/producto/cubeto-de-polietileno-1-grg-pibcd.html"
"106","Plastic garden shed","F2","2.080","1.780","1.960","77","7.3","10.6","https://www.leroymerlin.es/fp/16267342/caseta-de-resina-factor-de-178x208x196-cm-y-3-49-m2#fichaTecnica"
