"ID","year","country","V1","V2","V3","V4","V5","F1","F2","DP","DC","DW","DM","DO","source"
"116","2010","Portugal","0","1","0","0","0","0","0","0","1","1","0","1","https://www.madeiraislanddirect.com/blog/2010/02/madeira-flood-photo-special-february-2010/"
"117","2010","Portugal","0","0","0","0","0","0","0","0","1","0","1","0","https://www.madeiraislanddirect.com/blog/wp-content/uploads/2010/02/DSC04050.jpg"
"118","2010","Portugal","0","0","0","0","0","0","0","1","0","1","0","1","https://www.madeiraislanddirect.com/blog/2010/02/madeira-flood-photo-special-february-2010/"
"119","2010","Portugal","0","0","0","0","0","0","0","1","1","1","0","1","https://www.madeiraislanddirect.com/blog/wp-content/uploads/2010/02/DSC00376.jpg"
"120","2011","Thailand","0","1","0","0","0","0","0","0","0","0","0","0","https://www.theatlantic.com/photo/2011/10/worst-flooding-in-decades-swamps-thailand/100168/"
"121","2011","Thailand","0","0","0","0","0","0","0","1","1","1","1","0","https://www.theatlantic.com/photo/2011/10/worst-flooding-in-decades-swamps-thailand/100168/"
"122","2011","Thailand","0","0","0","0","0","0","0","1","0","0","0","0","https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-3.html"
"123","2011","Thailand","0","1","1","0","1","0","0","0","0","0","0","0","https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-3.html"
"124","2011","Thailand","0","0","0","0","0","1","0","1","0","0","0","1","https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-3.html"
"125","2011","Thailand","0","0","0","0","0","0","0","1","0","0","0","1","https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-3.html"
"126","2011","Thailand","0","0","0","0","0","0","0","1","0","0","0","1","https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-2.html"
"127","2011","Thailand","0","0","0","0","0","0","0","1","1","0","1","0","https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-2.html"
"128","2011","Thailand","0","0","0","0","0","1","0","1","0","0","0","1","http://newsphotogallary.blogspot.com/2011/10/thailand-flood-october-2011.html"
"129","2011","Brazil","0","0","0","0","0","0","0","0","1","1","0","0","https://en.wikipedia.org/wiki/January_2011_Rio_de_Janeiro_floods_and_mudslides#/media/File:EnchentesRio2011.JPG"
"130","2012","United States of America","0","0","0","0","0","0","0","0","1","0","1","0","https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/"
"131","2012","United States of America","0","1","0","0","0","0","0","0","0","0","0","0","https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/"
"132","2012","United States of America","0","0","0","0","0","0","0","1","1","1","0","0","https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/"
"133","2012","United States of America","0","0","0","0","0","0","0","0","1","1","0","0","https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/"
"134","2012","United States of America","0","0","0","0","0","0","0","1","1","1","1","0","https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/"
"135","2012","United States of America","0","1","0","0","0","0","0","0","1","0","0","0","https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/"
"136","2012","China","0","1","0","0","1","0","0","1","0","0","0","0","https://www.cbc.ca/news/world/beijing-residents-compile-own-death-toll-in-flooding-1.1142065"
"137","2012","China","0","0","1","0","0","0","0","1","1","1","1","0","https://edition.cnn.com/2012/07/26/world/asia/china-beijing-flood/index.html"
"138","2012","China","0","0","0","0","0","0","0","1","1","1","1","0","https://edition.cnn.com/2012/07/26/world/asia/china-beijing-flood/index.html"
"139","2012","China","0","1","0","0","0","0","0","1","0","1","0","1","https://edition.cnn.com/2012/07/26/world/asia/china-beijing-flood/index.html"
"140","2013","Canada","0","0","0","0","0","0","0","0","1","1","0","0","https://schovanekphotography.com/lens_portfolio/alberta-flood-2013/"
"141","2013","Canada","0","0","0","0","0","0","0","1","1","1","1","0","https://en.wikipedia.org/wiki/2013_Alberta_floods#/media/File:Okotoks_-_June_23,_2013_-_Local_campground_picnic_area_after_flood.JPG"
"142","2013","Canada","0","0","0","0","0","0","0","0","1","1","1","0","https://schovanekphotography.com/lens_portfolio/alberta-flood-2013/"
"143","2013","Canada","0","0","0","0","0","0","1","1","1","1","1","0","https://schovanekphotography.com/lens_portfolio/alberta-flood-2013/"
"144","2013","Canada","0","0","0","0","0","0","0","1","1","1","0","0","https://schovanekphotography.com/lens_portfolio/alberta-flood-2013/"
"145","2013","United States of America","0","0","0","0","0","0","0","1","1","1","1","0","https://www.huffpost.com/entry/colorado-flood-totals-numbers-2013_n_3935239"
"146","2013","United States of America","0","0","0","0","0","0","0","1","1","0","1","0","http://www.insurancejournal.com/news/west/2014/06/02/330798.htm"
"147","2013","United States of America","0","0","0","0","0","0","0","1","1","1","1","0","https://www.ibtimes.com/colorado-floods-heavy-rain-flash-flooding-claims-least-4-lives-leaves-500-people-unaccounted-photos"
"148","2013","United States of America","0","0","0","0","0","1","1","1","1","1","1","0","http://noconow.co/1rT7x4g"
"149","2013","United States of America","0","0","0","0","0","0","0","0","1","1","1","1","http://lrrd.blogspot.com/2013/10/pondering-colorado-floods-on-way-to-gsa.html"
"150","2014","Malaysia","0","0","0","0","0","0","0","1","1","1","1","0","https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/"
"151","2014","Malaysia","0","0","0","0","0","0","0","1","0","1","0","0","https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/"
"152","2014","Malaysia","0","0","0","0","0","0","0","1","1","1","0","0","https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/"
"153","2014","Malaysia","0","1","0","0","0","0","0","1","1","1","1","0","https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/"
"154","2014","Malaysia","0","0","0","0","0","1","0","1","1","1","1","0","https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/"
"155","2014","Serbia","0","0","0","0","0","0","0","1","1","1","1","0","https://ticotimes.net/2014/06/04/concert-tonight-to-raise-money-for-balkan-flood-victims"
"156","2014","Serbia","0","0","0","0","0","0","0","1","1","0","1","0","https://abcnews.go.com/International/photos/balkans-flood-rivers-overflow-23753941/image-23754391"
"157","2014","Serbia","0","0","0","0","0","0","0","0","1","1","0","1","http://abcnews.go.com/International/photos/balkans-flood-rivers-overflow-23753941/image-23754289"
"158","2014","Bosnia and Herz.","0","0","0","0","0","0","0","0","1","1","0","0","http://archive.boston.com/bigpicture/2014/05/balkans_flooding.html"
"159","2014","Serbia","0","1","0","0","0","0","0","1","1","1","1","0","http://archive.boston.com/bigpicture/2014/05/balkans_flooding.html"
"160","2015","Myanmar","0","0","0","0","0","0","0","1","1","1","0","0","https://www.bangkokpost.com/world/645144/aid-pledged-for-myanmar-as-flood-death-toll-hits-69"
